y,x
0.0042,0.02
9.72,10.992785
13.687103,9.033793
0.03,0.4
1.26,17.9
0.24,1.2
15.463063,13.410128
1.65,2.3634
0.17,0.25
2.360185,5.347825
20.370001,14.56
8.72,13.48
17.771326,16.450945
2.46,5.76
20.370001,27.9
42.221714,39.119755
0.1,0.9
17.315704,24.14233
2.939997,2.069998
49.09,65.080002
58.639256,60.898724
20.670282,19.570147
16.502619,20.706532
5.261281,9.442005
20.03525,13.72297
13.180405,14.421068
16.480888,20.080889
0.35,0.16
20.248058,16.982534
19.65,29.48
29.179695,29.622261
0.08,0.0733
0.37,0.28
0.8,1.15
0.04,0.06
5.6,8.6
0.0015,0.01
0.03,0.01667
0.05,0.2
0.09,1.31
0.02,0.011
14.688525,13.396157
0.22,0.13
0.04,0.09
0.05,0.08
0.25,0.12
6.25,12.500001
0.07,0.035
0.19,0.13
0.38,8.00999
0.85,1.2
0.4,1
13,7.346501
0.96,78
77.304207,57.794033
0.03,0.08
0.006,0.0013
0.09,0.02
0.1013,0.0066
1e-04,9e-04
68.766335,47.209503
0.062,0.01
0.01,0.03
14.72,20.959999
2,0.4
0.11,0.08
63.639999,28.77
0.75,1.01
0.0023,0.085
3599,2708
4,2.99
17.57,13.68
0.17,4.5
0.21,0.2
0.4,0.49
3,1
0.235,0.041
13.211266,13.051662
8.037928,7.503846
1.75,1.39
0.33,0.92
4.15,5
0.25,0.29
12.334053,13.16722
13.020305,14.456008
0.02,0.29
20.780001,11.23
7.675505,21.136005
7.729569,7.038101
6.32,3.94
0.18,0.14
0.21,0.55
1.68,5.69
25.795504,49.420086
0.11,0.16
0.0035,0.003
0.0598,0.18
0.0012,0.015
8.59,20.219999
0.064983,0.128342
6.91355,4.842556
2.05216,3.817254
15.601398,25.688114
0.09,1.22
132.457123,143.793411
113.860001,83.720001
0.55,0.35
15.082466,20.867891
25.534035,60.88118
2.461092,5.857641
21.798307,51.431095
11.245917,13.953384
0.16,4
9.642965,26.033195
7e-04,0.15
0.01,0.16
200,977.586182
0.9,1
66.304489,55.304985
0.32,0.62
3.372792,6.886386
0.0105,0.0065
0.0169,0.035
0.001,1e-04
0.15,0.15
0.0091,0.25
13.9998,14.497286
28,97.800003
1e-04,0.045
18.423719,18.384666
0.25,0.85
2.41659,4.089761
1.705286,9.067737
8.16,13.830208
5.399447,9.175849
6.34,6.62
2.73,15.3
0.003,0.013
0.04,0.359996
0.4,0.7
2.1,5
0.0016,0.0015
5.59,17.58
20.890835,33.043457
0.94,4.3
0.08,0.09
1.5,6.184309
2e-04,0.0018
10.34,36.073299
9.544858,19.102581
0.0011,0.017
0.12,0.13
0.3,0.16
0.114,0.036
5.11,6.9
15.93751,42.629227
3.937519,7.102122
27.120001,42.580002
13.325517,20.79088
0.01,0.35
5.48,13.317887
33.599998,46.09
1e-04,0.015
2.79,2.5
0.075,0.5
0.68,0.54
60.632015,44.363712
7.55,12.09
0.48,1.6
51.412376,60.877686
7.608352,13.929339
5.653135,10.427382
41.290775,64.689735
0.01,0.04
143.80127,547.44519
111.300011,143.545746
